Date ,State ,Total_Count,Male_Count,Female_Count,,,,
2020-06-01,Alaska,460,236,224,,,,
2020-06-01,Arizona,19936,9311,10589,,,,
2020-06-01,Arkansas,7253,4225,3003,,,,
2020-06-01,California,110583,55627,54396,,,,
2020-06-01,Colorado,26378,12580,13265,,,,
2020-06-01,Connecticut,42201,18906,23038,,,,
2020-06-01,Delaware,9498,4234,5220,,,,
2020-06-01,District of Columbia,8801,4411,4370,,,,
2020-06-01,Florida,56163,26995,27704,,,,
2020-06-01,Georgia,47063,0,0,,,,
2020-06-01,Hawaii,652,0,0,,,,
2020-06-01,Idaho,2839,1280,1552,,,,
2020-06-01,Illinois,120260,56981,60760,,,,
2020-06-01,Indiana,34574,15939,17806,,,,
2020-06-01,Iowa,19622,10007,9222,,,,
2020-06-01,Kansas,9719,5358,4180,,,,
2020-06-01,Kentucky,9704,4639,4965,,,,
2020-06-01,Louisiana,39916,15966,21954,,,,
2020-06-01,Maine,2325,1123,1202,,,,
2020-06-01,Maryland,52778,25272,27506,,,,
2020-06-01,Massachusetts,96965,42627,52948,,,,
2020-06-01,Michigan,57397,26977,29846,,,,
2020-06-01,Minnesota,24850,11937,12404,,,,
2020-06-01,Mississippi,15501,6293,9099,,,,
2020-06-01,Missouri,13147,5962,7106,,,,
2020-06-01,Montana,515,252,263,,,,
2020-06-01,Nebraska,14101,6994,6908,,,,
2020-06-01,Nevada,8593,4046,4317,,,,
2020-06-01,New Hampshire,4651,2017,2626,,,,
2020-06-01,New Jersey,160445,0,0,,,,
2020-06-01,New Mexico,7689,3629,3922,,,,
2020-06-01,New York,370770,189093,179453,,,,
2020-06-01,North Carolina,28589,13800,14383,,,,
2020-06-01,North Dakota,2577,1216,1361,,,,
2020-06-01,Ohio,33073,17198,15544,,,,
2020-06-01,Oklahoma,6506,2894,3274,,,,
2020-06-01,Oregon,4243,1863,2058,,,,
2020-06-01,Pennsylvania,71926,31785,39432,,,,
2020-06-01,Puerto Rico,1289,655,634,,,,
2020-06-01,Rhode Island,14928,6568,8360,,,,
2020-06-01,South Carolina,11131,4675,6155,,,,
2020-06-01,South Dakota,4993,2645,2348,,,,
2020-06-01,Tennessee,23006,12507,9717,,,,
2020-06-01,Texas,64287,34136,28929,,,,
2020-06-01,US Virgin Island,69,26,43,,,,
2020-06-01,Utah,9797,5139,4646,,,,
2020-06-01,Vermont,981,462,516,,,,
2020-06-01,Virginia,44607,21904,22287,,,,
2020-06-01,Washington,21702,10018,11105,,,,
2020-06-01,West Virginia,2010,942,1052,,,,
2020-06-01,Wisconsin,18403,9019,9327,,,,
2020-06-01,Wyoming,693,337,353,,,,
2020-06-08,Alabama,20166,8415,11620,,,,
2020-06-08,Alaska,544,271,273,,,,
2020-06-08,Arizona,26889,12610,14234,,,,
2020-06-08,Arkansas,9426,5251,4148,,,,
2020-06-08,California,128812,65050,63118,,,,
2020-06-08,Colorado,28001,13404,14104,,,,
2020-06-08,Connecticut,43968,19698,24031,,,,
2020-06-08,Delaware,9942,4445,5479,,,,
2020-06-08,District of Columbia,9332,4650,4660,,,,
2020-06-08,Florida,63938,30670,31701,,,,
2020-06-08,Georgia,51898,23250,27402,,,,
2020-06-08,Hawaii,675,0,0,,,,
2020-06-08,Idaho,3139,1421,1707,,,,
2020-06-08,Illinois,127757,60541,64738,,,,
2020-06-08,Indiana,37397,17315,19259,,,,
2020-06-08,Iowa,21794,11115,10243,,,,
2020-06-08,Kansas,10393,5714,4503,,,,
2020-06-08,Kentucky,11287,5390,5779,,,,
2020-06-08,Louisiana,42816,17555,23121,,,,
2020-06-08,Maine,2295,1251,1318,,,,
2020-06-08,Maryland,57973,27758,30215,,,,
2020-06-08,Massachusetts,103436,45564,56392,,,,
2020-06-08,Michigan,58870,27909,30786,,,,
2020-06-08,Minnesota,27886,13445,13890,,,,
2020-06-08,Mississippi,17270,7029,10137,,,,
2020-06-08,Missouri,14553,6567,7882,,,,
2020-06-08,Montana,545,268,277,,,,
2020-06-08,Nebraska,15634,7457,7426,,,,
2020-06-08,Nevada,9649,4573,4890,,,,
2020-06-08,New Hampshire,5043,2168,2868,,,,
2020-06-08,New Jersey,164164,0,0,,,,
2020-06-08,New Mexico,8940,4407,4399,,,,
2020-06-08,New York,378097,192451,183377,,,,
2020-06-08,North Carolina,35546,17307,17760,,,,
2020-06-08,North Dakota,2861,1336,1525,,,,
2020-06-08,Ohio,35731,18580,16794,,,,
2020-06-08,Oklahoma,7150,3347,3795,,,,
2020-06-08,Oregon,4570,2201,2364,,,,
2020-06-08,Pennsylvania,75592,33376,41492,,,,
2020-06-08,Puerto Rico,1358,692,666,,,,
2020-06-08,Rhode Island,15441,6794,8647,,,,
2020-06-08,South Carolina,14286,6086,7772,,,,
2020-06-08,South Dakota,5438,2861,2577,,,,
2020-06-08,Tennessee,26381,14268,11155,,,,
2020-06-08,Texas,74978,40038,33515,,,,
2020-06-08,US Virgin Island,71,28,43,,,,
2020-06-08,Utah,12066,6325,5728,,,,
2020-06-08,Vermont,1063,495,559,,,,
2020-06-08,Virginia,50681,24869,25252,,,,
2020-06-08,Washington,23729,11043,12199,,,,
2020-06-08,West Virginia,2144,1005,1122,,,,
2020-06-08,Wisconsin,23176,11274,11834,,,,
2020-06-08,Wyoming,734,355,376,,,,
2020-06-15,Alabama,25235,10531,14455,,,,
2020-06-15,Alaska,611,305,306,,,,
2020-06-15,Arizona,35691,16855,18768,,,,
2020-06-15,Arkansas,12501,6958,5472,,,,
2020-06-15,California,148855,75023,73088,,,,
2020-06-15,Colorado,29130,13933,14676,,,,
2020-06-15,Connecticut,43968,19698,24031,,,,
2020-06-15,Delaware,10264,4584,5663,,,,
2020-06-15,District of Columbia,9767,4854,4894,,,,
2020-06-15,Florida,75568,36294,37302,,,,
2020-06-15,Georgia,57681,26072,30340,,,,
2020-06-15,Hawaii,728,0,0,,,,
2020-06-15,Idaho,3399,1546,1847,,,,
2020-06-15,Illinois,132543,62706,67271,,,,
2020-06-15,Indiana,39909,18478,20593,,,,
2020-06-15,Iowa,23959,12219,11261,,,,
2020-06-15,Kansas,11047,6032,4855,,,,
2020-06-15,Kentucky,12445,5931,6384,,,,
2020-06-15,Louisiana,46619,19114,25640,,,,
2020-06-15,Maine,2793,1367,1426,,,,
2020-06-15,Maryland,61701,29619,32082,,,,
2020-06-15,Massachusetts,105603,46558,57553,,,,
2020-06-15,Michigan,59990,28518,31302,,,,
2020-06-15,Minnesota,30471,14705,15193,,,,
2020-06-15,Mississippi,19516,8002,11397,,,,
2020-06-15,Missouri,15810,8526,7169,,,,
2020-06-15,Montana,601,299,302,,,,
2020-06-15,Nebraska,16725,7995,7978,,,,
2020-06-15,Nevada,11173,5279,5631,,,,
2020-06-15,New Hampshire,5318,2260,3052,,,,
2020-06-15,New Jersey,166881,0,0,,,,
2020-06-15,New Mexico,9723,4801,4784,,,,
2020-06-15,New York,383324,195112,185912,,,,
2020-06-15,North Carolina,44119,21619,21982,,,,
2020-06-15,North Dakota,3080,1445,1635,,,,
2020-06-15,Ohio,38188,19476,18330,,,,
2020-06-15,Oklahoma,8231,3896,4306,,,,
2020-06-15,Oregon,5377,2599,2772,,,,
2020-06-15,Pennsylvania,76567,34900,43300,,,,
2020-06-15,Puerto Rico,1426,727,699,,,,
2020-06-15,Rhode Island,15947,7017,8930,,,,
2020-06-15,South Carolina,18795,8025,10055,,,,
2020-06-15,South Dakota,5898,3079,2819,,,,
2020-06-15,Tennessee,30432,16357,13105,,,,
2020-06-15,Texas,87854,47002,39271,,,,
2020-06-15,US Virgin Island,72,29,43,,,,
2020-06-15,Utah,14313,7429,6870,,,,
2020-06-15,Vermont,1127,525,595,,,,
2020-06-15,Virginia,54506,26790,27155,,,,
2020-06-15,Washington,25834,12093,13330,,,,
2020-06-15,West Virginia,2290,1083,1193,,,,
2020-06-15,Wisconsin,22758,11101,11596,,,,
2020-06-15,Wyoming,841,401,434,,,,
2020-06-22,Alabama,29958,12720,17028,,,,
2020-06-22,Alaska,755,381,374,,,,
2020-06-22,Arizona,52390,25017,27262,,,,
2020-06-22,Arkansas,15561,8592,6876,,,,
