Date,Sex,Age Group,Total Deaths,COVID-19 Deaths
2022-04-09,Male,1-4 Years,32,0
2022-04-09,Male,5-14 Years,68,0
2022-04-09,Male,15-24 Years,460,4
2022-04-09,Male,25-34 Years,963,11
2022-04-09,Male,35-44 Years,"1,318",10
2022-04-09,Male,45-54 Years,"2,113",43
2022-04-09,Male,55-64 Years,"4,527",121
2022-04-09,Male,65-74 Years,"6,711",204
2022-04-09,Male,75-84 Years,"7,427",242
2022-04-09,Male,85+ Years,"6,382",190
2022-04-09,Female,All Ages,"27,513",722
2022-04-09,Female,<1 Years,147,0
2022-04-09,Female,1-4 Years,29,2
2022-04-09,Female,5-14 Years,36,2
2022-04-09,Female,15-24 Years,153,1
2022-04-09,Female,25-34 Years,399,10
2022-04-09,Female,35-44 Years,677,11
2022-04-09,Female,45-54 Years,"1,199",31
2022-04-09,Female,55-64 Years,"3,001",77
2022-04-09,Female,65-74 Years,"4,984",119
2022-04-09,Female,75-84 Years,"6,953",197
2022-04-09,Female,85+ Years,"9,935",272
2022-04-16,All Sex,All Ages,"57,753","1,403"
2022-04-16,All Sex,<1 Years,375,2
2022-04-16,All Sex,1-4 Years,74,3
2022-04-16,All Sex,5-14 Years,118,2
2022-04-16,All Sex,15-24 Years,631,3
2022-04-16,All Sex,25-34 Years,"1,360",12
2022-04-16,All Sex,35-44 Years,"1,996",33
2022-04-16,All Sex,45-54 Years,"3,272",73
2022-04-16,All Sex,55-64 Years,"7,456",172
2022-04-16,All Sex,65-74 Years,"11,718",288
2022-04-16,All Sex,75-84 Years,"14,459",363
2022-04-16,All Sex,85+ Years,"16,294",452
2022-04-16,Male,All Ages,"30,139",725
2022-04-16,Male,<1 Years,217,1
2022-04-16,Male,1-4 Years,45,1
2022-04-16,Male,5-14 Years,71,0
2022-04-16,Male,15-24 Years,464,2
2022-04-16,Male,25-34 Years,989,10
2022-04-16,Male,35-44 Years,"1,344",19
2022-04-16,Male,45-54 Years,"2,045",40
2022-04-16,Male,55-64 Years,"4,575",108
2022-04-16,Male,65-74 Years,"6,685",169
2022-04-16,Male,75-84 Years,"7,391",192
2022-04-16,Male,85+ Years,"6,313",183
2022-04-16,Female,All Ages,"27,614",678
2022-04-16,Female,<1 Years,158,1
2022-04-16,Female,1-4 Years,29,2
2022-04-16,Female,5-14 Years,47,2
2022-04-16,Female,15-24 Years,167,1
2022-04-16,Female,25-34 Years,371,2
2022-04-16,Female,35-44 Years,652,14
2022-04-16,Female,45-54 Years,"1,227",33
2022-04-16,Female,55-64 Years,"2,881",64
2022-04-16,Female,65-74 Years,"5,033",119
2022-04-16,Female,75-84 Years,"7,068",171
2022-04-16,Female,85+ Years,"9,981",269
2022-04-23,All Sex,All Ages,"56,689","1,342"
2022-04-23,All Sex,<1 Years,408,2
2022-04-23,All Sex,1-4 Years,80,3
2022-04-23,All Sex,5-14 Years,111,1
2022-04-23,All Sex,15-24 Years,636,5
2022-04-23,All Sex,25-34 Years,"1,366",24
2022-04-23,All Sex,35-44 Years,"2,016",39
2022-04-23,All Sex,45-54 Years,"3,164",65
2022-04-23,All Sex,55-64 Years,"7,369",165
2022-04-23,All Sex,65-74 Years,"11,399",282
2022-04-23,All Sex,75-84 Years,"14,256",365
2022-04-23,All Sex,85+ Years,"15,884",391
2022-04-23,Male,All Ages,"29,688",700
2022-04-23,Male,<1 Years,258,2
2022-04-23,Male,1-4 Years,43,1
2022-04-23,Male,5-14 Years,54,0
2022-04-23,Male,15-24 Years,454,3
2022-04-23,Male,25-34 Years,965,15
2022-04-23,Male,35-44 Years,"1,319",23
2022-04-23,Male,45-54 Years,"1,974",36
2022-04-23,Male,55-64 Years,"4,516",103
2022-04-23,Male,65-74 Years,"6,564",166
2022-04-23,Male,75-84 Years,"7,322",191
2022-04-23,Male,85+ Years,"6,219",160
2022-04-23,Female,All Ages,"27,001",642
2022-04-23,Female,<1 Years,150,0
2022-04-23,Female,1-4 Years,37,2
2022-04-23,Female,5-14 Years,57,1
2022-04-23,Female,15-24 Years,182,2
2022-04-23,Female,25-34 Years,401,9
2022-04-23,Female,35-44 Years,697,16
2022-04-23,Female,45-54 Years,"1,190",29
2022-04-23,Female,55-64 Years,"2,853",62
2022-04-23,Female,65-74 Years,"4,835",116
2022-04-23,Female,75-84 Years,"6,934",174
2022-04-23,Female,85+ Years,"9,665",231
2022-04-30,All Sex,All Ages,"57,280","1,420"
2022-04-30,All Sex,<1 Years,373,1
2022-04-30,All Sex,1-4 Years,80,2
2022-04-30,All Sex,5-14 Years,116,3
2022-04-30,All Sex,15-24 Years,670,4
2022-04-30,All Sex,25-34 Years,"1,413",12
2022-04-30,All Sex,35-44 Years,"1,994",34
2022-04-30,All Sex,45-54 Years,"3,218",62
2022-04-30,All Sex,55-64 Years,"7,299",162
2022-04-30,All Sex,65-74 Years,"11,724",248
2022-04-30,All Sex,75-84 Years,"14,270",401
2022-04-30,All Sex,85+ Years,"16,123",491
2022-04-30,Male,All Ages,"30,216",725
2022-04-30,Male,<1 Years,211,0
2022-04-30,Male,1-4 Years,49,1
2022-04-30,Male,5-14 Years,69,2
2022-04-30,Male,15-24 Years,504,0
2022-04-30,Male,25-34 Years,"1,031",8
2022-04-30,Male,35-44 Years,"1,344",24
2022-04-30,Male,45-54 Years,"2,003",36
2022-04-30,Male,55-64 Years,"4,472",90
2022-04-30,Male,65-74 Years,"6,840",148
2022-04-30,Male,75-84 Years,"7,360",221
2022-04-30,Male,85+ Years,"6,333",195
2022-04-30,Female,All Ages,"27,064",695
2022-04-30,Female,<1 Years,162,1
2022-04-30,Female,1-4 Years,31,1
2022-04-30,Female,5-14 Years,47,1
2022-04-30,Female,15-24 Years,166,4
2022-04-30,Female,25-34 Years,382,4
2022-04-30,Female,35-44 Years,650,10
2022-04-30,Female,45-54 Years,"1,215",26
2022-04-30,Female,55-64 Years,"2,827",72
2022-04-30,Female,65-74 Years,"4,884",100
2022-04-30,Female,75-84 Years,"6,910",180
2022-04-30,Female,85+ Years,"9,790",296
2022-05-07,All Sex,All Ages,"57,480","1,426"
2022-05-07,All Sex,<1 Years,383,4
2022-05-07,All Sex,1-4 Years,73,2
2022-05-07,All Sex,5-14 Years,133,2
2022-05-07,All Sex,15-24 Years,675,5
2022-05-07,All Sex,25-34 Years,"1,407",17
2022-05-07,All Sex,35-44 Years,"2,024",39
2022-05-07,All Sex,45-54 Years,"3,263",55
2022-05-07,All Sex,55-64 Years,"7,225",138
2022-05-07,All Sex,65-74 Years,"11,683",301
2022-05-07,All Sex,75-84 Years,"14,303",363
2022-05-07,All Sex,85+ Years,"16,311",500
2022-05-07,Male,All Ages,"29,979",749
2022-05-07,Male,<1 Years,219,3
2022-05-07,Male,1-4 Years,44,2
2022-05-07,Male,5-14 Years,80,1
2022-05-07,Male,15-24 Years,493,2
2022-05-07,Male,25-34 Years,977,15
2022-05-07,Male,35-44 Years,"1,359",23
2022-05-07,Male,45-54 Years,"2,050",33
2022-05-07,Male,55-64 Years,"4,425",81
2022-05-07,Male,65-74 Years,"6,637",162
2022-05-07,Male,75-84 Years,"7,279",210
2022-05-07,Male,85+ Years,"6,416",217
2022-05-07,Female,All Ages,"27,501",677
2022-05-07,Female,<1 Years,164,1
2022-05-07,Female,1-4 Years,29,0
2022-05-07,Female,5-14 Years,53,1
2022-05-07,Female,15-24 Years,182,3
2022-05-07,Female,25-34 Years,430,2
2022-05-07,Female,35-44 Years,665,16
2022-05-07,Female,45-54 Years,"1,213",22
2022-05-07,Female,55-64 Years,"2,800",57
2022-05-07,Female,65-74 Years,"5,046",139
2022-05-07,Female,75-84 Years,"7,024",153
2022-05-07,Female,85+ Years,"9,895",283
2022-05-14,All Sex,All Ages,"57,899","1,660"
2022-05-14,All Sex,<1 Years,401,2
2022-05-14,All Sex,1-4 Years,72,1
2022-05-14,All Sex,5-14 Years,110,2
2022-05-14,All Sex,15-24 Years,708,4
2022-05-14,All Sex,25-34 Years,"1,368",15
2022-05-14,All Sex,35-44 Years,"2,031",30
2022-05-14,All Sex,45-54 Years,"3,289",58
2022-05-14,All Sex,55-64 Years,"7,528",175
2022-05-14,All Sex,65-74 Years,"11,656",319
2022-05-14,All Sex,75-84 Years,"14,426",431
2022-05-14,All Sex,85+ Years,"16,310",623
2022-05-14,Male,All Ages,"30,281",872
