Date,State,tot_deaths,new_deaths
2020-12-24,UT,"1,198",98
2020-12-31,UT,"1,259",61
2021-01-07,UT,"1,332",73
2021-01-14,UT,"1,440",108
2021-01-21,UT,"1,518",78
2021-01-28,UT,"1,621",103
2021-02-04,UT,"1,700",79
2021-02-11,UT,"1,772",72
2021-02-18,UT,"1,807",35
2021-02-25,UT,"1,880",73
2021-03-04,UT,"1,954",74
2021-03-11,UT,"1,994",40
2021-03-18,UT,"2,037",43
2021-03-25,UT,"2,085",48
2021-04-01,UT,"2,125",40
2021-04-08,UT,"2,142",17
2021-04-15,UT,"2,164",22
2021-04-22,UT,"2,179",15
2021-04-29,UT,"2,193",14
2021-05-06,UT,"2,221",28
2021-05-13,UT,"2,250",29
2021-05-20,UT,"2,276",26
2021-05-27,UT,"2,293",17
2021-06-03,UT,"2,306",13
2021-06-10,UT,"2,319",13
2021-06-17,UT,"2,324",5
2021-06-24,UT,"2,337",13
2021-07-01,UT,"2,370",33
2021-07-08,UT,"2,386",16
2021-07-15,UT,"2,401",15
2021-07-22,UT,"2,416",15
2021-07-29,UT,"2,436",20
2021-08-05,UT,"2,477",41
2021-08-12,UT,"2,516",39
2021-08-19,UT,"2,546",30
2021-08-26,UT,"2,602",56
2021-09-02,UT,"2,637",35
2021-09-09,UT,"2,690",53
2021-09-16,UT,"2,759",69
2021-09-23,UT,"2,837",78
2021-09-30,UT,"2,918",81
2021-10-07,UT,"2,971",53
2021-10-14,UT,"3,040",69
2021-10-21,UT,"3,105",65
2021-10-28,UT,"3,177",72
2021-11-04,UT,"3,261",84
2021-11-11,UT,"3,325",64
2021-11-18,UT,"3,398",73
2021-11-25,UT,"3,469",71
2021-12-02,UT,"3,543",74
2021-12-09,UT,"3,622",79
2021-12-16,UT,"3,691",69
2021-12-23,UT,"3,761",70
2021-12-30,UT,"3,792",31
2022-01-06,UT,"3,865",73
2022-01-13,UT,"3,945",80
2022-01-20,UT,"4,006",61
